,portcode,portname,geometry,sector
0,2402,El Paso,POINT (-106.4511895639756 31.76436555092654),El Paso
1,2404,Fabens,POINT (-106.1427433174529 31.43019060434181),El Paso
2,2305,Hidalgo,POINT (-98.27109207600698 26.09503241210103),Rio Grande
3,2403,Presidio,POINT (-104.3949076085982 29.5618279337551),Big Bend
4,2309,Progreso,POINT (-97.94995891374353 26.06213319073671),Rio Grande
5,2307,Rio Grande City,POINT (-98.8025132743833 26.36576141600824),Rio Grande
6,2310,Roma,POINT (-99.0189816208362 26.40392864548697),Rio Grande
7,2301,Brownsville-Veterans,POINT (-97.47634560466088 25.88341562691672),Rio Grande
8,2303,Eagle Pass,POINT (-100.5119776794387 28.70548343543405),Del Rio
9,2304,Laredo-World Trade,POINT (-99.53740863293213 27.5970921461619),Laredo
10,2304,Laredo-Columbia,POINT (-99.74540143845979 27.69990120103239),Laredo
11,2309,Los Indios,POINT (-97.73883233714392 26.02913103771877),Rio Grande
12,2402,El Paso-Ysleta,POINT (-106.3378742073376 31.67110521680608),El Paso
13,2402,El Paso-Stanton,POINT (-106.4827581839446 31.74828569223078),El Paso
14,2303,Eagle Pass II,POINT (-100.5105295170473 28.69773695226983),Del Rio
15,2402,El Paso-PDN,POINT (-106.4869384231524 31.74771360837191),El Paso
16,2604,Nogales-Mariposa,POINT (-110.9653251696908 31.33262868724349),Tucson
17,2608,San Luis II,POINT (-114.84786342081 32.50516322868007),Yuma
18,2406,Antelope Wells,POINT (-108.5302142527409 31.33335520650618),El Paso
19,2404,Fort Hancock,POINT (-105.8545378094024 31.27315147925054),El Paso
20,2310,Falcon Dam,POINT (-99.16733952727567 26.55935821558106),Laredo
21,2304,Laredo,POINT (-99.50741225245818 27.49956199397226),Laredo
22,2304,Laredo-Juarez/Lincoln,POINT (-99.50260751165143 27.50037929092158),Laredo
23,2305,Los Ebanos (Ferry),POINT (-98.56513116715578 26.2394581066191),Rio Grande
24,2305,Pharr,POINT (-98.20514157850037 26.06674050631911),Rio Grande
25,2305,Anzalduas,POINT (-98.31818769387803 26.11644261488884),Rio Grande
26,2305,Doona,POINT (-98.07600270894969 26.06650970961933),Rio Grande
27,2301,Brownsville,POINT (-97.50469677908242 25.89199580044593),Rio Grande
28,2601,Douglas,POINT (-109.5603449772243 31.33404371446293),Tucson
29,2602,Lukeville,POINT (-112.8170777274059 31.88019535350416),Tucson
30,2603,Naco,POINT (-109.9484132462413 31.33408451848774),Tucson
31,2604,Nogales,POINT (-110.9425166796239 31.3328391648351),Tucson
32,2608,San Luis,POINT (-114.7820916664853 32.48509697644404),Yuma
33,2606,Sasabe,POINT (-111.5443631767879 31.48303902739747),Tucson
34,2502,Andrade,POINT (-114.7283200056796 32.71814324111202),Yuma
35,2503,Calexico,POINT (-115.4961394745876 32.66488064968988),El Centro
36,2507,Calexico East,POINT (-115.3880185892491 32.67338947816062),El Centro
37,2506,Otay Mesa,POINT (-116.9385383083928 32.55033009376086),San Diego
38,2504,San Ysidro,POINT (-117.0287618786627 32.54252855240136),San Diego
39,2505,Tecate,POINT (-116.6262167602771 32.57642865578163),San Diego
40,2406,Columbus,POINT (-107.6279483953941 31.78374207841549),El Paso
41,2408,Santa Teresa,POINT (-106.6794378538207 31.78393962686542),El Paso
42,2301,Brownsville-Gateway,POINT (-97.49737557599219 25.89859181420101),Rio Grande
43,2302,Del Rio,POINT (-100.9276126645638 29.32678452100858),Del Rio
