crsyr1,origin_loc,cross_loc,us_loc
1972,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL "
1980,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA "
1978,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1980,Guanajuato,"Tijuana, Baja California del Norte","San Jose, CA "
1975,Guanajuato,"Nuevo Laredo, Tamaulipas","Chicago, IL "
1946,Guanajuato,"Tijuana, Baja California del Norte",
1978,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA "
1950,Guanajuato,"Tijuana, Baja California del Norte","Santa Cruz-Watsonville, CA "
1947,"Monterrey, Nuevo León","Matamoros, Tamaulipas","San Antonio, TX "
1986,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA "
1978,"León, Guanajuato","Tijuana, Baja California del Norte","Orange County, CA "
1980,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA "
1924,Guanajuato,"Juárez, Chihuahua","Kansas City, MO-KS "
1966,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA "
1975,Guanajuato,"Juárez, Chihuahua","Chicago, IL "
1982,"Cochoapa el Grande, Jalisco","Tijuana, Baja California del Norte","Reno, NV "
1972,"León, Guanajuato","Tijuana, Baja California del Norte","Chicago, IL "
1974,Guanajuato,"Tijuana, Baja California del Norte",
1988,Guanajuato,"Reynosa, Tamaulipas",
1980,"León, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA "
1987,Guanajuato,"Reynosa, Tamaulipas",
1969,Guanajuato,"Reynosa, Tamaulipas",
1974,Guanajuato,"Mexicali, Baja California del Norte","San Diego, CA "
1985,Guanajuato,"Nuevo Laredo, Tamaulipas","Chicago, IL "
1976,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Fresno, CA "
1985,"León, Guanajuato","Tijuana, Baja California del Norte",
1970,Guanajuato,"Mexicali, Baja California del Norte",
1966,Guanajuato,"Nuevo Laredo, Tamaulipas",
1956,Guanajuato,"Nuevo Laredo, Tamaulipas","Santa Barbara-Santa Maria-Lompoc, CA "
1966,Guanajuato,"Matamoros, Tamaulipas","Los Angeles-Long Beach, CA "
1974,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
