crsyr,origin_loc,cross_loc,us_loc,origin_coords,cross_coords,us_coords,flow
1984,Quetzaltenango,"Tijuana, Baja California del Norte","New York, NY ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.0060152, 40.7127281)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.00601519999999 40.7127281)"
1989,Quetzaltenango,"Tijuana, Baja California del Norte","Chicago, IL ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-88.125016, 42.371614)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -88.125016 42.371614)"
2001,"Guatemala, Guatemala","Tijuana, Baja California del Norte","Trenton, NJ ","(-90.5185188, 14.6222328)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-90.5185188 14.6222328, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1994,Quetzaltenango,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -118.1362299 33.760599)"
2003,Quetzaltenango,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -118.1362299 33.760599)"
1995,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1986,Quetzaltenango,"Tijuana, Baja California del Norte","New York, NY ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.0060152, 40.7127281)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.00601519999999 40.7127281)"
1990,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1985,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1992,"San Lucas Tolimán, Sololá","Tijuana, Baja California del Norte","Chicago, IL ","(-91.14372849158245, 14.58520955)","(-117.0412813, 32.5132984)","(-88.125016, 42.371614)","LINESTRING (-91.14372849158245 14.58520955, -117.0412813 32.5132984, -88.125016 42.371614)"
2000,Quetzaltenango,"Tijuana, Baja California del Norte","Chicago, IL ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-88.125016, 42.371614)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -88.125016 42.371614)"
1996,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1995,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1981,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1984,Quetzaltenango,"Tijuana, Baja California del Norte","Chicago, IL ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-88.125016, 42.371614)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -88.125016 42.371614)"
2003,Quetzaltenango,"Tijuana, Baja California del Norte","Oklahoma City, OK ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-97.5170536, 35.4729886)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -97.5170536 35.4729886)"
1986,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1984,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1998,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1991,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1995,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1985,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1990,Quetzaltenango,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -118.1362299 33.760599)"
1990,Quetzaltenango,"Tijuana, Baja California del Norte","Chicago, IL ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-88.125016, 42.371614)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -88.125016 42.371614)"
1996,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1997,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
2000,Quetzaltenango,"Tijuana, Baja California del Norte","Miami, FL ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-80.19362, 25.7741728)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -80.19362 25.7741728)"
1995,Quetzaltenango,"Juárez, Chihuahua","Los Angeles-Long Beach, CA ","(-91.6152074, 14.7360257)","(-106.0277621, 28.6517723)","(-118.1362299, 33.760599)","LINESTRING (-91.6152074 14.7360257, -106.0277621 28.6517723, -118.1362299 33.760599)"
1989,Quetzaltenango,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -118.1362299 33.760599)"
1986,Quetzaltenango,"Tijuana, Baja California del Norte","New York, NY ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.0060152, 40.7127281)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.00601519999999 40.7127281)"
1992,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1989,Quetzaltenango,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -118.1362299 33.760599)"
1984,Quetzaltenango,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -118.1362299 33.760599)"
1987,"San Carlos Sija, Quetzaltenango","Tijuana, Baja California del Norte","Chicago, IL ","(-91.54905, 14.983689)","(-117.0412813, 32.5132984)","(-88.125016, 42.371614)","LINESTRING (-91.54904999999999 14.983689, -117.0412813 32.5132984, -88.125016 42.371614)"
1983,Quetzaltenango,"Tijuana, Baja California del Norte","Chicago, IL ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-88.125016, 42.371614)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -88.125016 42.371614)"
1993,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1991,Quetzaltenango,"Tijuana, Baja California del Norte","Chicago, IL ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-88.125016, 42.371614)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -88.125016 42.371614)"
2001,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1997,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1998,Quetzaltenango,"Tijuana, Baja California del Norte","Trenton, NJ ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-74.7429463, 40.2170575)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -74.7429463 40.2170575)"
1998,Quetzaltenango,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -118.1362299 33.760599)"
1992,Quetzaltenango,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -118.1362299 33.760599)"
1992,Quetzaltenango,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -118.1362299 33.760599)"
2004,Quetzaltenango,"Tijuana, Baja California del Norte","Chicago, IL ","(-91.6152074, 14.7360257)","(-117.0412813, 32.5132984)","(-88.125016, 42.371614)","LINESTRING (-91.6152074 14.7360257, -117.0412813 32.5132984, -88.125016 42.371614)"
