crsyr,origin_loc,cross_loc,us_loc,origin_coords,cross_coords,us_coords,flow
1972,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-88.125016, 42.371614)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -88.125016 42.371614)"
1980,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1978,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -118.1362299 33.760599)"
1980,Guanajuato,"Tijuana, Baja California del Norte","San Jose, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-121.890583, 37.3361905)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -121.890583 37.3361905)"
1975,Guanajuato,"Nuevo Laredo, Tamaulipas","Chicago, IL ","(-101.0, 20.9876996)","(-99.5185992, 27.4761506)","(-88.125016, 42.371614)","LINESTRING (-101 20.9876996, -99.5185992 27.4761506, -88.125016 42.371614)"
1978,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1947,"Monterrey, Nuevo León","Matamoros, Tamaulipas","San Antonio, TX ","(-100.315258, 25.6802019)","(-97.5017951, 25.8520977)","(-98.4951405, 29.4246002)","LINESTRING (-100.315258 25.6802019, -97.5017951 25.8520977, -98.49514050000001 29.4246002)"
1986,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1978,"León, Guanajuato","Tijuana, Baja California del Norte","Orange County, CA ","(-101.6825081, 21.1218598)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-101.6825081 21.1218598, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1980,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1924,Guanajuato,"Juárez, Chihuahua","Kansas City, MO-KS ","(-101.0, 20.9876996)","(-106.0277621, 28.6517723)","(-94.6103616, 39.0904745)","LINESTRING (-101 20.9876996, -106.0277621 28.6517723, -94.6103616 39.0904745)"
1966,Guanajuato,"Tijuana, Baja California del Norte","San Diego, CA ","(-101.0, 20.9876996)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-101 20.9876996, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1975,Guanajuato,"Juárez, Chihuahua","Chicago, IL ","(-101.0, 20.9876996)","(-106.0277621, 28.6517723)","(-88.125016, 42.371614)","LINESTRING (-101 20.9876996, -106.0277621 28.6517723, -88.125016 42.371614)"
1972,"León, Guanajuato","Tijuana, Baja California del Norte","Chicago, IL ","(-101.6825081, 21.1218598)","(-117.0412813, 32.5132984)","(-88.125016, 42.371614)","LINESTRING (-101.6825081 21.1218598, -117.0412813 32.5132984, -88.125016 42.371614)"
