crsyr,origin_loc,cross_loc,us_loc,origin_coords,cross_coords,us_coords,flow
1989,León,"Matamoros, Tamaulipas","Los Angeles-Long Beach, CA ","(-86.8773498, 12.4345376)","(-97.5017951, 25.8520977)","(-118.1362299, 33.760599)","LINESTRING (-86.8773498 12.4345376, -97.5017951 25.8520977, -118.1362299 33.760599)"
1978,León,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-86.8773498, 12.4345376)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-86.8773498 12.4345376, -117.0412813 32.5132984, -118.1362299 33.760599)"
1988,León,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-86.8773498, 12.4345376)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-86.8773498 12.4345376, -117.0412813 32.5132984, -118.1362299 33.760599)"
1987,"Managua, Managua","Matamoros, Tamaulipas","Miami, FL ","(-86.2746665, 12.1459907)","(-97.5017951, 25.8520977)","(-80.19362, 25.7741728)","LINESTRING (-86.2746665 12.1459907, -97.5017951 25.8520977, -80.19362 25.7741728)"
1986,"Nagarote, León","Matamoros, Tamaulipas","Miami, FL ","(-86.56732857301998, 12.266326549999999)","(-97.5017951, 25.8520977)","(-80.19362, 25.7741728)","LINESTRING (-86.56732857301998 12.26632655, -97.5017951 25.8520977, -80.19362 25.7741728)"
1985,León,"Tijuana, Baja California del Norte","Milwaukee-Waukesha, WI ","(-86.8773498, 12.4345376)","(-117.0412813, 32.5132984)","(-88.26839974564228, 43.027490650000004)","LINESTRING (-86.8773498 12.4345376, -117.0412813 32.5132984, -88.26839974564228 43.02749065)"
1988,"Managua, Managua","Matamoros, Tamaulipas","Miami, FL ","(-86.2746665, 12.1459907)","(-97.5017951, 25.8520977)","(-80.19362, 25.7741728)","LINESTRING (-86.2746665 12.1459907, -97.5017951 25.8520977, -80.19362 25.7741728)"
1986,"León, León","Matamoros, Tamaulipas","Miami, FL ","(-86.8773498, 12.4345376)","(-97.5017951, 25.8520977)","(-80.19362, 25.7741728)","LINESTRING (-86.8773498 12.4345376, -97.5017951 25.8520977, -80.19362 25.7741728)"
1986,"Managua, Managua","Tijuana, Baja California del Norte","Miami, FL ","(-86.2746665, 12.1459907)","(-117.0412813, 32.5132984)","(-80.19362, 25.7741728)","LINESTRING (-86.2746665 12.1459907, -117.0412813 32.5132984, -80.19362 25.7741728)"
1986,"León, León","Tijuana, Baja California del Norte","Miami, FL ","(-86.8773498, 12.4345376)","(-117.0412813, 32.5132984)","(-80.19362, 25.7741728)","LINESTRING (-86.8773498 12.4345376, -117.0412813 32.5132984, -80.19362 25.7741728)"
1989,"Managua, Managua","Matamoros, Tamaulipas","Miami, FL ","(-86.2746665, 12.1459907)","(-97.5017951, 25.8520977)","(-80.19362, 25.7741728)","LINESTRING (-86.2746665 12.1459907, -97.5017951 25.8520977, -80.19362 25.7741728)"
